日期,凭证号,科目编码,科目名称,借方金额,贷方金额,摘要,制单人
2025-11-30,记-0001,1002,银行存款,193521.1,0.0,银行存款-实收资本,李四
2025-11-30,记-0001,4001,实收资本,0.0,193521.1,银行存款-资本注入,王五
2025-11-30,记-0002,6401,主营业务成本,13664.23,0.0,产品成本-银行贷款,王五
2025-11-30,记-0002,2001,短期借款,0.0,13664.23,营业成本-银行贷款,赵六
2025-11-30,记-0003,2001,短期借款,24501.37,0.0,银行贷款-银行取款,张三
2025-11-30,记-0003,1002,银行存款,0.0,24501.37,短期借款-电汇,赵六
2025-11-30,记-0004,2001,短期借款,26272.92,0.0,短期借款-销售回款,王五
2025-11-30,记-0004,1121,应收账款,0.0,26272.92,银行贷款-应收账款,赵六
2025-11-30,记-0005,6603,财务费用,27291.0,0.0,财务费用-供应商付款,张三
2025-11-30,记-0005,2202,应付账款,0.0,27291.0,手续费-应付账款,王五
2025-12-01,记-0006,2202,应付账款,24603.41,0.0,采购付款-销售成本,王五
2025-12-01,记-0006,6401,主营业务成本,0.0,24603.41,应付账款-营业成本,张三
2025-12-01,记-0007,1601,固定资产,46681.56,0.0,设备购买-实收资本,赵六
2025-12-01,记-0007,4001,实收资本,0.0,46681.56,固定资产购置-资本注入,李四
2025-12-01,记-0008,1401,材料采购,25865.79,0.0,原材料购买-营业外收入,王五
2025-12-01,记-0008,6001,主营业务收入,0.0,25865.79,材料采购-营业外收入,王五
2025-12-01,记-0009,1002,银行存款,18564.57,0.0,银行转账-广告费,王五
2025-12-01,记-0009,6601,销售费用,0.0,18564.57,银行存款-广告费,张三
2025-12-01,记-0010,1002,银行存款,33036.26,0.0,银行取款-应付账款,张三
2025-12-01,记-0010,2202,应付账款,0.0,33036.26,银行存款-采购付款,王五
2025-12-02,记-0011,1601,固定资产,42716.76,0.0,资产投资-产品成本,张三
2025-12-02,记-0011,6401,主营业务成本,0.0,42716.76,资产投资-营业成本,赵六
2025-12-02,记-0012,6001,主营业务收入,17855.31,0.0,服务收入-现金支出,王五
2025-12-02,记-0012,1001,库存现金,0.0,17855.31,服务收入-现金存入,赵六
2025-12-02,记-0013,1401,材料采购,27024.55,0.0,采购付款-银行转账,王五
2025-12-02,记-0013,1002,银行存款,0.0,27024.55,采购付款-银行存款,赵六
2025-12-02,记-0014,6601,销售费用,30728.93,0.0,营销费用-营业成本,王五
2025-12-02,记-0014,6401,主营业务成本,0.0,30728.93,广告费-销售成本,王五
2025-12-02,记-0015,1121,应收账款,46217.74,0.0,应收账款-借款,李四
2025-12-02,记-0015,2001,短期借款,0.0,46217.74,应收账款-借款,赵六
2025-12-02,记-0016,1002,银行存款,185268.76,0.0,银行转账-实收资本,张三
2025-12-02,记-0016,4001,实收资本,0.0,185268.76,银行转账-资本注入,王五
2025-12-02,记-0017,6401,主营业务成本,38293.21,0.0,营业成本-生产成本,张三
2025-12-02,记-0017,5001,生产成本,0.0,38293.21,销售成本-生产成本,李四
2025-12-03,记-0018,1002,银行存款,25712.92,0.0,银行存款-利息支出,王五
2025-12-03,记-0018,6603,财务费用,0.0,25712.92,银行存款-手续费,王五
2025-12-03,记-0019,1001,库存现金,9337.88,0.0,现金存入-制造费用,李四
2025-12-03,记-0019,5001,生产成本,0.0,9337.88,现金提取-制造费用,王五
2025-12-03,记-0020,2202,应付账款,8273.28,0.0,采购付款-生产成本,张三
2025-12-03,记-0020,5001,生产成本,0.0,8273.28,采购付款-生产成本,赵六
2025-12-04,记-0021,5001,生产成本,14331.98,0.0,制造费用-营销费用,王五
2025-12-04,记-0021,6601,销售费用,0.0,14331.98,生产支出-销售费用,王五
2025-12-04,记-0022,6001,主营业务收入,22540.12,0.0,服务收入-银行存款,张三
2025-12-04,记-0022,1002,银行存款,0.0,22540.12,营业外收入-银行存款,王五
2025-12-04,记-0023,5001,生产成本,30040.39,0.0,生产成本-原材料购买,王五
2025-12-04,记-0023,1401,材料采购,0.0,30040.39,生产支出-采购付款,赵六
2025-12-04,记-0024,6401,主营业务成本,10368.62,0.0,销售成本-应收账款,赵六
2025-12-04,记-0024,1121,应收账款,0.0,10368.62,销售成本-应收账款,赵六
2025-12-04,记-0025,6602,管理费用,30353.9,0.0,办公费用-现金提取,李四
2025-12-04,记-0025,1001,库存现金,0.0,30353.9,办公费用-现金支出,王五
2025-12-04,记-0026,6601,销售费用,46500.19,0.0,广告费-产品成本,赵六
2025-12-04,记-0026,6401,主营业务成本,0.0,46500.19,销售费用-营业成本,赵六
2025-12-04,记-0027,6603,财务费用,19665.36,0.0,财务费用-营业成本,张三
2025-12-04,记-0027,6401,主营业务成本,0.0,19665.36,手续费-营业成本,王五
2025-12-04,记-0028,4001,实收资本,5084.74,0.0,资本注入-原材料购买,张三
